id,observationID,personID,lat,lon,media,Eventful_Uneventful,Exciting_Monotonous,Pleasant_Unpleasant,Calm_Chaotic,Anxious_Safe,Stressed_Relaxed,Depressed_Cheerful,Detached_Attached,Exhausted_Excited,uncrowded _crowded,accessible_unaccessible,central_remote,green _built-up,clean_polluted,quiet_busy,relaxing_disturbing,mediaType,timestamp,transcription
0,1718266733014,P07,49.800366,9.9323516,P07/1718266733014/media/1718266733009.aac,1,5,5,5,1,1,2,1,1,2,5,3,2,5,4,5,Audio,2024-06-13 10:18:53.014," Ja gut, okay, nochmal neu. Also ich fühle mich hier unwohl. Ich würde hier ungern länger bleiben. Hier ist es laut, die Autos stehen rum, es kommen immer wieder neue Autos, der Fahrradweg ist gesperrt. Das führt irgendwie anscheinend zu mehr Stress. Die Baustelle ist laut, so laut aber auch nicht im Gegensatz zu dem Autolärm. Der Dreck gegenüber ist ein bisschen grün, hilft mir aber nicht dabei, mich zu entspannen oder irgendwie lockerer zu werden."
1,1718266733014,P07,49.800366,9.9323516,P07/1718266733014/media/1718266776456.aac,1,5,5,5,1,1,2,1,1,2,5,3,2,5,4,5,Audio,2024-06-13 10:18:53.014," Ja gut, okay, nochmal neu. Also ich fühle mich hier unwohl. Ich würde hier ungern länger bleiben. Hier ist es laut, die Autos stehen rum, es kommen immer wieder neue Autos, der Fahrradweg ist gesperrt. Das führt irgendwie anscheinend zu mehr Stress. Die Baustelle ist laut, so laut aber auch nicht im Gegensatz zu dem Autolärm. Der Dreck gegenüber ist ein bisschen grün, hilft mir aber nicht dabei, mich zu entspannen oder irgendwie lockerer zu werden."
2,1718266733014,P07,49.800366,9.9323516,P07/1718266733014/media/1718266884668.aac,1,5,5,5,1,1,2,1,1,2,5,3,2,5,4,5,Audio,2024-06-13 10:18:53.014," Ja gut, okay, nochmal neu. Also ich fühle mich hier unwohl. Ich würde hier ungern länger bleiben. Hier ist es laut, die Autos stehen rum, es kommen immer wieder neue Autos, der Fahrradweg ist gesperrt. Das führt irgendwie anscheinend zu mehr Stress. Die Baustelle ist laut, so laut aber auch nicht im Gegensatz zu dem Autolärm. Der Dreck gegenüber ist ein bisschen grün, hilft mir aber nicht dabei, mich zu entspannen oder irgendwie lockerer zu werden."
3,1718266733014,P07,49.800366,9.9323516,P07/1718266733014/media/1718266905336.jpg,1,5,5,5,1,1,2,1,1,2,5,3,2,5,4,5,Image,2024-06-13 10:18:53.014,
4,1718266733014,P07,49.800366,9.9323516,P07/1718266733014/media/1718266913377.jpg,1,5,5,5,1,1,2,1,1,2,5,3,2,5,4,5,Image,2024-06-13 10:18:53.014,
5,1718266733014,P07,49.800366,9.9323516,P07/1718266733014/media/1718266921444.jpg,1,5,5,5,1,1,2,1,1,2,5,3,2,5,4,5,Image,2024-06-13 10:18:53.014,
6,1718267618450,P07,49.7954867,9.9297233,P07/1718267618450/media/1718267618446.aac,2,1,1,2,5,4,4,3,4,3,3,1,5,2,2,2,Audio,2024-06-13 10:33:38.450," Okay, ich fühle mich hier nicht wohl, aber wohler als zuvor. Hier laufen einige Leute lang, hier fahren kaum Autos entlang und wenn dann in 50 Metern Entfernung auf der Parallelstraße, es riecht gut. Ich habe Hunger. Hier durch die Passage zum Galeria Kaufhof laufen einige Leute hinter mir vorbei bzw. fahren welche mit dem Fahrrad entlang. Ruhige Atmosphäre, fühlt sich gut an."
7,1718267618450,P07,49.7954867,9.9297233,P07/1718267618450/media/1718267698930.aac,2,1,1,2,5,4,4,3,4,3,3,1,5,2,2,2,Audio,2024-06-13 10:33:38.450," Okay, ich fühle mich hier nicht wohl, aber wohler als zuvor. Hier laufen einige Leute lang, hier fahren kaum Autos entlang und wenn dann in 50 Metern Entfernung auf der Parallelstraße, es riecht gut. Ich habe Hunger. Hier durch die Passage zum Galeria Kaufhof laufen einige Leute hinter mir vorbei bzw. fahren welche mit dem Fahrrad entlang. Ruhige Atmosphäre, fühlt sich gut an."
8,1718267618450,P07,49.7954867,9.9297233,P07/1718267618450/media/1718267813072.aac,2,1,1,2,5,4,4,3,4,3,3,1,5,2,2,2,Audio,2024-06-13 10:33:38.450," Okay, ich fühle mich hier nicht wohl, aber wohler als zuvor. Hier laufen einige Leute lang, hier fahren kaum Autos entlang und wenn dann in 50 Metern Entfernung auf der Parallelstraße, es riecht gut. Ich habe Hunger. Hier durch die Passage zum Galeria Kaufhof laufen einige Leute hinter mir vorbei bzw. fahren welche mit dem Fahrrad entlang. Ruhige Atmosphäre, fühlt sich gut an."
9,1718267618450,P07,49.7954867,9.9297233,P07/1718267618450/media/1718267828875.jpg,2,1,1,2,5,4,4,3,4,3,3,1,5,2,2,2,Image,2024-06-13 10:33:38.450,
10,1718267618450,P07,49.7954867,9.9297233,P07/1718267618450/media/1718267836964.jpg,2,1,1,2,5,4,4,3,4,3,3,1,5,2,2,2,Image,2024-06-13 10:33:38.450,
11,1718267618450,P07,49.7954867,9.9297233,P07/1718267618450/media/1718267846577.jpg,2,1,1,2,5,4,4,3,4,3,3,1,5,2,2,2,Image,2024-06-13 10:33:38.450,
12,1718268467154,P07,49.79121,9.9317583,P07/1718268467154/media/1718268467149.aac,2,2,3,4,5,2,4,2,2,3,4,4,4,2,3,3,Audio,2024-06-13 10:47:47.154," Ich fühle mich hier okay, also grundsätzlich nicht irgendwie unsicher oder ängstlich, aber jetzt auch nicht besonders gut. Ich würde diesen Ort als Durchgangsort beschreiben, nehme ihn so wahr. Hier halten sich kaum Leute auf. Ich bin die einzige, die hier ein bisschen länger steht. Da drüben sind auch noch ein paar, die sich gerade unterhalten. Es hat keinen Aufenthaltscharakter und dementsprechend ist es hier auch nicht so schön, fühlt sich nicht so wohl an, wie es vielleicht an anderen Orten sein könnte."
13,1718268467154,P07,49.79121,9.9317583,P07/1718268467154/media/1718268544815.aac,2,2,3,4,5,2,4,2,2,3,4,4,4,2,3,3,Audio,2024-06-13 10:47:47.154," Ich fühle mich hier okay, also grundsätzlich nicht irgendwie unsicher oder ängstlich, aber jetzt auch nicht besonders gut. Ich würde diesen Ort als Durchgangsort beschreiben, nehme ihn so wahr. Hier halten sich kaum Leute auf. Ich bin die einzige, die hier ein bisschen länger steht. Da drüben sind auch noch ein paar, die sich gerade unterhalten. Es hat keinen Aufenthaltscharakter und dementsprechend ist es hier auch nicht so schön, fühlt sich nicht so wohl an, wie es vielleicht an anderen Orten sein könnte."
14,1718268467154,P07,49.79121,9.9317583,P07/1718268467154/media/1718268610093.aac,2,2,3,4,5,2,4,2,2,3,4,4,4,2,3,3,Audio,2024-06-13 10:47:47.154," Ich fühle mich hier okay, also grundsätzlich nicht irgendwie unsicher oder ängstlich, aber jetzt auch nicht besonders gut. Ich würde diesen Ort als Durchgangsort beschreiben, nehme ihn so wahr. Hier halten sich kaum Leute auf. Ich bin die einzige, die hier ein bisschen länger steht. Da drüben sind auch noch ein paar, die sich gerade unterhalten. Es hat keinen Aufenthaltscharakter und dementsprechend ist es hier auch nicht so schön, fühlt sich nicht so wohl an, wie es vielleicht an anderen Orten sein könnte."
15,1718268467154,P07,49.79121,9.9317583,P07/1718268467154/media/1718268631834.jpg,2,2,3,4,5,2,4,2,2,3,4,4,4,2,3,3,Image,2024-06-13 10:47:47.154,
16,1718268467154,P07,49.79121,9.9317583,P07/1718268467154/media/1718268641760.jpg,2,2,3,4,5,2,4,2,2,3,4,4,4,2,3,3,Image,2024-06-13 10:47:47.154,
17,1718268467154,P07,49.79121,9.9317583,P07/1718268467154/media/1718268657255.jpg,2,2,3,4,5,2,4,2,2,3,4,4,4,2,3,3,Image,2024-06-13 10:47:47.154,
18,1718269293446,P07,49.795275,9.933345,P07/1718269293446/media/1718269293442.aac,1,1,1,3,5,5,5,4,5,3,1,1,2,2,5,1,Audio,2024-06-13 11:01:33.446," Ich fühle mich hier relativ wohl. Irgendwie so eine entspannte Ferienatmosphäre. Viele Leute, wenig Autos. Ja, irgendwie so in... entspannt. Ich fühle mich auch sicher. Ich habe einen guten Überblick. Genau."
19,1718269293446,P07,49.795275,9.933345,P07/1718269293446/media/1718269389539.aac,1,1,1,3,5,5,5,4,5,3,1,1,2,2,5,1,Audio,2024-06-13 11:01:33.446," Ich fühle mich hier relativ wohl. Irgendwie so eine entspannte Ferienatmosphäre. Viele Leute, wenig Autos. Ja, irgendwie so in... entspannt. Ich fühle mich auch sicher. Ich habe einen guten Überblick. Genau."
20,1718269293446,P07,49.795275,9.933345,P07/1718269293446/media/1718269450081.aac,1,1,1,3,5,5,5,4,5,3,1,1,2,2,5,1,Audio,2024-06-13 11:01:33.446," Ich fühle mich hier relativ wohl. Irgendwie so eine entspannte Ferienatmosphäre. Viele Leute, wenig Autos. Ja, irgendwie so in... entspannt. Ich fühle mich auch sicher. Ich habe einen guten Überblick. Genau."
21,1718269293446,P07,49.795275,9.933345,P07/1718269293446/media/1718269458566.jpg,1,1,1,3,5,5,5,4,5,3,1,1,2,2,5,1,Image,2024-06-13 11:01:33.446,
22,1718269293446,P07,49.795275,9.933345,P07/1718269293446/media/1718269475036.jpg,1,1,1,3,5,5,5,4,5,3,1,1,2,2,5,1,Image,2024-06-13 11:01:33.446,
23,1718269293446,P07,49.795275,9.933345,P07/1718269293446/media/1718269482704.jpg,1,1,1,3,5,5,5,4,5,3,1,1,2,2,5,1,Image,2024-06-13 11:01:33.446,
24,1718270040934,P07,49.7963654,9.9351056,P07/1718270040934/media/1718270040930.aac,2,3,4,4,3,2,3,2,2,4,2,2,5,4,4,4,Audio,2024-06-13 11:14:00.934," Wie ich mich hier fühle? Ich fühle mich hier okay. Das ist jetzt kein Aufenthaltsort. Ich würde jetzt nicht hier länger stehen wollen, wenn ich jetzt nicht gerade diese Aufnahme machen würde. Aber auf jeden Fall schon ein besserer Ort als...... vorherige...... ähm... genau. Ich fühle mich nicht besonders gestresst, fühle mich aber auch nicht besonders entspannt hier. Hier ist mir einfach ein bisschen zu viel los und kein Aufenthaltsort. Und da treten dann halt auch so diese sehr primitiven Sinne wieder zurück. Ich habe halt nichts im Rücken, sondern ich stehe hier einfach nur so blöd auf der Straße rum. Die Leute wollen an mir vorbei und dafür muss ich immer einen Schritt zur Seite gehen und mich so an die Wand quetschen. Genau. Und da laufen halt viele Leute vorbei. Gerade laufen irgendwie sehr viele Menschen mit Kindern an mir vorbei."
25,1718270040934,P07,49.7963654,9.9351056,P07/1718270040934/media/1718270139904.aac,2,3,4,4,3,2,3,2,2,4,2,2,5,4,4,4,Audio,2024-06-13 11:14:00.934," Wie ich mich hier fühle? Ich fühle mich hier okay. Das ist jetzt kein Aufenthaltsort. Ich würde jetzt nicht hier länger stehen wollen, wenn ich jetzt nicht gerade diese Aufnahme machen würde. Aber auf jeden Fall schon ein besserer Ort als...... vorherige...... ähm... genau. Ich fühle mich nicht besonders gestresst, fühle mich aber auch nicht besonders entspannt hier. Hier ist mir einfach ein bisschen zu viel los und kein Aufenthaltsort. Und da treten dann halt auch so diese sehr primitiven Sinne wieder zurück. Ich habe halt nichts im Rücken, sondern ich stehe hier einfach nur so blöd auf der Straße rum. Die Leute wollen an mir vorbei und dafür muss ich immer einen Schritt zur Seite gehen und mich so an die Wand quetschen. Genau. Und da laufen halt viele Leute vorbei. Gerade laufen irgendwie sehr viele Menschen mit Kindern an mir vorbei."
26,1718270040934,P07,49.7963654,9.9351056,P07/1718270040934/media/1718270216190.aac,2,3,4,4,3,2,3,2,2,4,2,2,5,4,4,4,Audio,2024-06-13 11:14:00.934," Wie ich mich hier fühle? Ich fühle mich hier okay. Das ist jetzt kein Aufenthaltsort. Ich würde jetzt nicht hier länger stehen wollen, wenn ich jetzt nicht gerade diese Aufnahme machen würde. Aber auf jeden Fall schon ein besserer Ort als...... vorherige...... ähm... genau. Ich fühle mich nicht besonders gestresst, fühle mich aber auch nicht besonders entspannt hier. Hier ist mir einfach ein bisschen zu viel los und kein Aufenthaltsort. Und da treten dann halt auch so diese sehr primitiven Sinne wieder zurück. Ich habe halt nichts im Rücken, sondern ich stehe hier einfach nur so blöd auf der Straße rum. Die Leute wollen an mir vorbei und dafür muss ich immer einen Schritt zur Seite gehen und mich so an die Wand quetschen. Genau. Und da laufen halt viele Leute vorbei. Gerade laufen irgendwie sehr viele Menschen mit Kindern an mir vorbei."
27,1718270040934,P07,49.7963654,9.9351056,P07/1718270040934/media/1718270224155.jpg,2,3,4,4,3,2,3,2,2,4,2,2,5,4,4,4,Image,2024-06-13 11:14:00.934,
28,1718270040934,P07,49.7963654,9.9351056,P07/1718270040934/media/1718270231787.jpg,2,3,4,4,3,2,3,2,2,4,2,2,5,4,4,4,Image,2024-06-13 11:14:00.934,
29,1718270040934,P07,49.7963654,9.9351056,P07/1718270040934/media/1718270275148.jpg,2,3,4,4,3,2,3,2,2,4,2,2,5,4,4,4,Image,2024-06-13 11:14:00.934,
30,1718270244840,P09,49.7996317,9.9335133,P09/1718270244840/media/1718270244836.aac,3,3,3,2,3,3,3,3,3,2,2,1,3,1,3,3,Audio,2024-06-13 11:17:24.840,
31,1718270244840,P09,49.7996317,9.9335133,P09/1718270244840/media/1718270278229.aac,3,3,3,2,3,3,3,3,3,2,2,1,3,1,3,3,Audio,2024-06-13 11:17:24.840, I'm on a narrow road and there's lots of buildings around me and also some trees and there's a park station. It's kind of noisy but it's okay.
32,1718270244840,P09,49.7996317,9.9335133,P09/1718270244840/media/1718270304913.aac,3,3,3,2,3,3,3,3,3,2,2,1,3,1,3,3,Audio,2024-06-13 11:17:24.840," To be honest, I don't have any special feelings at this place. And I think it's a normal view in the city. And we see it like all day."
33,1718270244840,P09,49.7996317,9.9335133,P09/1718270244840/media/1718270339733.jpg,3,3,3,2,3,3,3,3,3,2,2,1,3,1,3,3,Image,2024-06-13 11:17:24.840,
34,1718270244840,P09,49.7996317,9.9335133,P09/1718270244840/media/1718270374436.jpg,3,3,3,2,3,3,3,3,3,2,2,1,3,1,3,3,Image,2024-06-13 11:17:24.840,
35,1718270244840,P09,49.7996317,9.9335133,P09/1718270244840/media/1718270386180.jpg,3,3,3,2,3,3,3,3,3,2,2,1,3,1,3,3,Image,2024-06-13 11:17:24.840,
