id,observationID,personID,lat,lon,media,Eventful_Uneventful,Exciting_Monotonous,Pleasant_Unpleasant,Calm_Chaotic,Anxious_Safe,Stressed_Relaxed,Depressed_Cheerful,Detached_Attached,Exhausted_Excited,uncrowded _crowded,accessible_unaccessible,central_remote,green _built-up,clean_polluted,quiet_busy,relaxing_disturbing,mediaType,timestamp,transcription,filename,Unnamed: 0,mediaID,person,vehicles,place_cluster,place_name,avg_r,avg_g,avg_b,brightness,greeness,normalized_greeness,noise,normalized_noise,hour
3,1718266733014,P07,49.800366,9.9323516,P07/1718266733014/media/1718266905336.jpg,1,5,5,5,1,1,2,1,1,2,5,3,2,5,4,5,Image,2024-06-13 10:18:53.014,,1718266905336.jpg,0,1718266905336,1.0,1.0,3,Klinikstr,105.19762416666667,120.84264383333333,106.66589125,110.0,0.38952825,0.5508941421830797,-21.5750675201416,1.1460402437053672,1
4,1718266733014,P07,49.800366,9.9323516,P07/1718266733014/media/1718266913377.jpg,1,5,5,5,1,1,2,1,1,2,5,3,2,5,4,5,Image,2024-06-13 10:18:53.014,,1718266913377.jpg,1,1718266913377,0.0,2.0,3,Klinikstr,109.07438683333334,113.22861258333333,97.08161408333333,106.0,0.26508583333333335,0.3749002357571075,-21.5750675201416,1.1460402437053672,1
5,1718266733014,P07,49.800366,9.9323516,P07/1718266733014/media/1718266921444.jpg,1,5,5,5,1,1,2,1,1,2,5,3,2,5,4,5,Image,2024-06-13 10:18:53.014,,1718266921444.jpg,2,1718266921444,0.0,0.0,3,Klinikstr,70.23403858333333,115.46221658333333,103.05690791666666,96.0,0.6427425833333333,0.909004992808489,-21.5750675201416,1.1460402437053672,1
9,1718267618450,P07,49.7954867,9.9297233,P07/1718267618450/media/1718267828875.jpg,2,1,1,2,5,4,4,3,4,3,3,1,5,2,2,2,Image,2024-06-13 10:33:38.450,,1718267828875.jpg,3,1718267828875,3.0,1.0,2,Katharinengasse/Marienplatz,118.15556566666666,121.58482258333333,120.17427916666666,119.0,0.107419,0.15191837269611186,-31.78965187072754,1.6886260190484104,1
10,1718267618450,P07,49.7954867,9.9297233,P07/1718267618450/media/1718267836964.jpg,2,1,1,2,5,4,4,3,4,3,3,1,5,2,2,2,Image,2024-06-13 10:33:38.450,,1718267836964.jpg,4,1718267836964,0.0,0.0,2,Katharinengasse/Marienplatz,97.68657908333333,115.62687833333334,130.81800275,114.0,0.03711766666666667,0.05249402357382507,-31.78965187072754,1.6886260190484104,1
11,1718267618450,P07,49.7954867,9.9297233,P07/1718267618450/media/1718267846577.jpg,2,1,1,2,5,4,4,3,4,3,3,1,5,2,2,2,Image,2024-06-13 10:33:38.450,,1718267846577.jpg,5,1718267846577,0.0,0.0,2,Katharinengasse/Marienplatz,113.66075566666666,121.64244766666667,127.80282016666666,121.0,0.13214083333333335,0.18688146758681554,-31.78965187072754,1.6886260190484104,1
15,1718268467154,P07,49.79121,9.9317583,P07/1718268467154/media/1718268631834.jpg,2,2,3,4,5,2,4,2,2,3,4,4,4,2,3,3,Image,2024-06-13 10:47:47.154,,1718268631834.jpg,6,1718268631834,0.0,0.0,1,Dommerschulstr,86.19609416666667,104.99661416666666,102.10048641666667,97.0,0.2846551666666667,0.4025763570647698,-25.34763526916504,1.346434261404249,1
16,1718268467154,P07,49.79121,9.9317583,P07/1718268467154/media/1718268641760.jpg,2,2,3,4,5,2,4,2,2,3,4,4,4,2,3,3,Image,2024-06-13 10:47:47.154,,1718268641760.jpg,7,1718268641760,0.0,4.0,1,Dommerschulstr,116.90092608333333,114.54873091666667,110.58092033333334,114.0,0.022608166666666665,0.03197382110839311,-25.34763526916504,1.346434261404249,1
17,1718268467154,P07,49.79121,9.9317583,P07/1718268467154/media/1718268657255.jpg,2,2,3,4,5,2,4,2,2,3,4,4,4,2,3,3,Image,2024-06-13 10:47:47.154,,1718268657255.jpg,8,1718268657255,0.0,3.0,1,Dommerschulstr,112.6716605,141.92442975,138.92090425,131.0,0.4147285,0.5865338425297147,-25.34763526916504,1.346434261404249,1
21,1718269293446,P07,49.795275,9.933345,P07/1718269293446/media/1718269458566.jpg,1,1,1,3,5,5,5,4,5,3,1,1,2,2,5,1,Image,2024-06-13 11:01:33.446,,1718269458566.jpg,9,1718269458566,7.0,1.0,4,Eichhornstr,145.27836316666668,128.47136633333332,113.49737016666667,129.0,0.07837983333333333,0.11084944685942398,-25.402830123901367,1.3493661421371483,2
